key,vi,en,ja,zh
language.label,Ngôn ngữ,Language,言語,语言
language.vi,Tiếng Việt,Vietnamese,ベトナム語,越南语
language.en,Tiếng Anh,English,英語,英语
language.ja,Tiếng Nhật,Japanese,日本語,日语
language.zh,Tiếng Trung,Chinese,中国語,中文
language.code,Mã,Code,コード,代码
brand.name,Vận Tải Huy Anh,Huy Anh Transport,Huy Anh 輸送,Huy Anh 运输
action.backDashboard,Về Dashboard,Back to Dashboard,ダッシュボードへ戻る,返回仪表盘
action.exportReport,Xuất báo cáo,Export report,レポート出力,导出报表
action.createOrder,Tạo đơn vận chuyển,Create shipment order,配送注文を作成,创建运单
menu.dashboard,Dashboard,Dashboard,ダッシュボード,Dashboard
menu.orders,Đơn vận chuyển,Orders,配送注文,运单
menu.vehicles,Phương tiện,Vehicles,車両,车辆
menu.drivers,Tài xế,Drivers,ドライバー,司机
menu.trips,Phân công chuyến,Trips,配車,行程分配
menu.tracking,Tracking GPS,GPS Tracking,GPS追跡,GPS追踪
menu.warehouse,Kho hàng,Warehouse,倉庫,仓库
menu.costs,Chi phí,Costs,Costs,成本
menu.billing,Thanh toán,Billing,請求,结算
menu.reports,Báo cáo,Reports,レポート,报表
menu.users,Người dùng,Users,ユーザー,用户
page.dashboard.title,Dashboard,Dashboard,ダッシュボード,Dashboard
page.dashboard.description,Tổng quan KPI và điều hướng nhanh đến từng module.,KPI overview and quick module navigation.,KPI概要と各モジュールへのクイック移動。,KPI overview and quick module navigation.
page.orders.title,Quản lý đơn vận chuyển,Order Management,配送注文管理,运单管理
page.orders.description,Theo dõi và thao tác với danh sách đơn hàng.,Track and manage shipment orders.,配送注文リストの追跡と操作。,Track and manage shipment orders.
page.vehicles.title,Quản lý phương tiện,Vehicle Management,車両管理,车辆管理
page.vehicles.description,"Thông tin xe, tải trọng và tình trạng khai thác.","Vehicle info, capacity, and operating status.",車両情報、積載量、稼働状況。,"Vehicle info, capacity, and operating status."
page.drivers.title,Quản lý tài xế,Driver Management,ドライバー管理,司机管理
page.drivers.description,"Nhân sự lái xe, bằng lái và lịch trình.","Driver roster, licenses, and schedules.",ドライバー、免許、スケジュール。,"Driver roster, licenses, and schedules."
page.trips.title,Phân công chuyến đi,Trip Assignment,配車管理,行程分配
page.trips.description,"Gán đơn cho xe và tài xế, theo dõi tối ưu tuyến.",Assign orders and optimize routes.,注文割当とルート最適化の追跡。,Assign orders and optimize routes.
page.tracking.title,Theo dõi vận chuyển,Shipment Tracking,配送追跡,运输追踪
page.tracking.description,"Theo dõi vị trí GPS, ETA và lịch sử di chuyển.","Track GPS position, ETA, and movement history.",GPS位置、ETA、移動履歴を追跡。,"Track GPS position, ETA, and movement history."
page.warehouse.title,Quản lý kho hàng,Warehouse Management,倉庫管理,仓库管理
page.warehouse.description,"Nhập xuất tồn và vị trí lưu trữ hàng hóa.",Inventory flow and storage location.,入出庫・在庫・保管場所管理。,Inventory flow and storage location.
page.costs.title,Quản lý chi phí,Cost Management,コスト管理,成本管理
page.costs.description,"Tổng hợp nhiên liệu, cầu đường và chi phí tài xế.","Fuel, toll, and driver cost summary.",燃料・通行料・ドライバー費用の集計。,"Fuel, toll, and driver cost summary."
page.billing.title,Thanh toán và hóa đơn,Billing and Invoices,請求と支払い,结算与发票
page.billing.description,"Hóa đơn, thanh toán và lịch sử giao dịch.","Invoices, payments, and transaction history.",請求書、支払い、取引履歴。,"Invoices, payments, and transaction history."
page.reports.title,Báo cáo và thống kê,Reports and Analytics,レポートと分析,报表与统计
page.reports.description,"Phân tích hiệu suất, doanh thu và chi phí vận hành.","Performance, revenue, and cost analysis.",業務効率・売上・運用コスト分析。,"Performance, revenue, and cost analysis."
page.users.title,Người dùng và phân quyền,Users and Permissions,ユーザーと権限,用户与权限
page.users.description,"Quản lý vai trò Admin, Điều phối, Tài xế, Khách hàng.","Manage Admin, Dispatcher, Driver, Customer roles.",管理者・配車担当・ドライバー・顧客の役割管理。,"Manage Admin, Dispatcher, Driver, Customer roles."
dashboard.metric.totalOrders,Tổng số đơn hôm nay,Total orders today,本日の総注文,Total orders today
dashboard.metric.activeVehicles,Xe đang hoạt động,Active vehicles,稼働中の車両,Active vehicles
dashboard.metric.delivering,Đơn đang giao,Orders delivering,配送中の注文,Orders delivering
dashboard.metric.revenue,Doanh thu hôm nay,Revenue today,本日の売上,Revenue today
dashboard.quickAccess,Truy cập nhanh các trang chức năng,Quick access to modules,機能ページへのクイックアクセス,快速访问功能模块
dashboard.openPage,Mở trang,Open page,ページを開く,打开页面
dashboard.latestDelivery,Tình hình giao vận gần nhất,Latest delivery status,最新配送状況,Latest delivery status
common.vehicle,Xe,Vehicle,車両,Vehicle
common.location,Vị trí,Location,位置,Location
common.status,Trạng thái,Status,状態,状态
common.eta,ETA,ETA,到着予測,ETA
common.order,Đơn hàng,Order,注文,Order
orders.title,Đơn vận chuyển,Shipment orders,配送注文,Shipment orders
orders.description,"Tạo, sửa, xóa và theo dõi trạng thái đơn hàng.","Create, edit, delete and monitor orders.",注文の作成・編集・削除・追跡。,"Create, edit, delete and monitor orders."
orders.searchPlaceholder,Tìm mã đơn / người nhận,Search order code / receiver,注文コード/受取人を検索,Search order code / receiver
orders.addOrder,Thêm đơn,Add order,注文追加,新增运单
orders.filter.allLabel,Tất cả trạng thái,All statuses,全ステータス,All statuses
orders.column.code,Mã đơn,Order code,注文コード,Order code
orders.column.sender,Người gửi,Sender,送信者,Sender
orders.column.receiver,Người nhận,Receiver,受取人,Receiver
orders.column.address,Địa chỉ giao,Delivery address,配送先,Delivery address
orders.column.cargo,Loại hàng,Cargo type,貨物種類,Cargo type
orders.column.weight,Trọng lượng,Weight,重量,Weight
orders.column.dimension,Kích thước,Dimensions,寸法,Dimensions
orders.column.action,Thao tác,Actions,操作,Actions
action.edit,Sửa,Edit,編集,编辑
action.delete,Xóa,Delete,削除,删除
status.all,Tất cả,All,すべて,All
status.pending,Chờ xử lý,Pending,処理待ち,Pending
status.inTransit,Đang vận chuyển,In transit,配送中,In transit
status.delivered,Đã giao,Delivered,配達済み,Delivered
status.cancelled,Hủy,Cancelled,キャンセル,Cancelled
vehicles.title,Danh sách phương tiện,Vehicle list,車両一覧,Vehicle list
vehicles.column.plate,Biển số,Plate,ナンバー,Plate
vehicles.column.type,Loại xe,Vehicle type,車種,Vehicle type
vehicles.column.capacity,Tải trọng,Capacity,積載量,Capacity
vehicles.column.fuel,Nhiên liệu,Fuel,燃料,Fuel
vehicles.column.route,Tuyến hiện tại,Current route,現在ルート,Current route
drivers.title,Danh sách tài xế,Driver list,ドライバー一覧,Driver list
drivers.column.name,Tài xế,Driver,ドライバー,Driver
drivers.column.license,Bằng lái,License,免許,License
drivers.column.phone,Số điện thoại,Phone,電話,Phone
drivers.column.schedule,Lịch trình,Schedule,スケジュール,Schedule
drivers.column.performance,Hiệu suất,Performance,パフォーマンス,Performance
trips.title,Phân công chuyến đi,Trip assignment,配車管理,Trip assignment
trips.column.code,Mã chuyến,Trip code,便コード,Trip code
trips.column.route,Tuyến đường,Route,ルート,Route
trips.column.driver,Tài xế,Driver,ドライバー,Driver
trips.column.orders,Đơn được gom,Bundled orders,統合注文,Bundled orders
trips.optimizeTitle,Tối ưu tuyến đường,Route optimization,ルート最適化,Route optimization
tracking.title,Tracking GPS,GPS tracking,GPS追跡,GPS tracking
tracking.mapAria,Bản đồ vị trí xe,Vehicle map,車両マップ,Vehicle map
tracking.mapCaption,"GPS mock map - bạn có thể thay bằng API bản đồ thật sau",GPS mock map - replace with real map API later,GPSモックマップ - 後で実地図APIに置換可能,GPS mock map - replace with real map API later
warehouse.title,Quản lý kho hàng,Warehouse management,倉庫管理,Warehouse management
warehouse.column.warehouse,Kho,Warehouse,倉庫,Warehouse
warehouse.column.product,Hàng hóa,Product,商品,Product
warehouse.column.inbound,Nhập,Inbound,入庫,Inbound
warehouse.column.outbound,Xuất,Outbound,出庫,Outbound
warehouse.column.stock,Tồn,Stock,在庫,Stock
warehouse.column.position,Vị trí,Location,位置,Location
costs.title,Quản lý chi phí,Cost management,コスト管理,Cost management
costs.column.trip,Chuyến,Trip,便,Trip
costs.column.fuel,Nhiên liệu,Fuel,燃料,Fuel
costs.column.toll,Cầu đường,Toll,通行料,Toll
costs.column.shippingFee,Phí vận chuyển,Shipping fee,配送料,Shipping fee
costs.column.driverCost,Chi phí tài xế,Driver cost,ドライバー費用,Driver cost
billing.title,Thanh toán và hóa đơn,Billing and invoices,請求と支払い,Billing and invoices
billing.column.invoiceNo,Số hóa đơn,Invoice no.,請求書番号,Invoice no.
billing.column.customer,Khách hàng,Customer,顧客,Customer
billing.column.amount,Giá trị,Amount,金額,Amount
billing.column.payment,Thanh toán,Payment,支払い,Payment
billing.column.channel,Kênh,Channel,チャネル,Channel
billing.column.date,Ngày,Date,日付,Date
reports.title,Báo cáo và thống kê,Reports and analytics,レポートと分析,Reports and analytics
reports.metric.orders,Số đơn trong ngày,Orders in day,本日の注文数,Orders in day
reports.metric.revenue,Doanh thu hôm nay,Revenue today,本日の売上,Revenue today
reports.metric.activeTrips,Số chuyến xe đang chạy,Active trips,稼働中の便,Active trips
reports.metric.driverPerformance,Hiệu suất tài xế trung bình,Average driver performance,平均ドライバー実績,Average driver performance
reports.metric.costRate,Tỷ lệ chi phí vận hành,Operating cost ratio,運用コスト比率,Operating cost ratio
users.title,Người dùng và phân quyền,Users and permissions,ユーザーと権限,Users and permissions
users.column.user,Người dùng,User,ユーザー,User
users.column.role,Vai trò,Role,役割,Role
users.column.access,Quyền truy cập,Access permission,アクセス権限,Access permission
users.column.action,Hành động,Actions,操作,Actions
users.action.grant,Cấp quyền,Grant permission,権限付与,Grant permission
users.action.lock,Khóa,Lock,ロック,Lock
driverStatus.available,Sẵn sàng,Available,利用可能,可用
driverStatus.on_trip,Đang chuyến,On trip,配送中,配送中
driverStatus.off,Nghỉ,Offline,オフライン,离线
drivers.addDriver,Thêm tài xế,Add driver,ドライバーを追加,添加司机
drivers.deleteDriver,Xóa tài xế,Delete driver,ドライバーを削除,删除司机
